GEO_ID,non_high_school_per,college_per,med_income,renter_num,renter_per,mid_rent,rent_35,total,latinx,white,black,asian,include
1400000US36061016400,29.099999999999994,26.9,27818.0,3033.0,99.5,714.0,37.1,7286.0,50.5,11.8,4.7,15.7,1
1400000US36061016500,4.700000000000003,80.7,178666.0,1999.0,62.6,2276.0,18.7,6323.0,5.8,81.9,2.6,7.2,1
1400000US36061016600,24.0,33.6,44356.0,2777.0,95.6,1176.0,36.9,6747.0,55.3,24.5,4.5,4.1,1
1400000US36061016700,1.0999999999999943,86.2,178750.0,1768.0,56.6,2279.0,29.7,6303.0,7.4,76.6,0.6,10.1,1
1400000US36061016800,26.5,28.3,26307.0,1725.0,93.6,645.0,35.5,4941.0,42.7,16.6,7.1,7.2,1
1400000US36061016900,5.700000000000003,81.3,121039.0,2652.0,64.9,2342.0,29.8,8418.0,8.1,79.3,1.2,10.7,1
1400000US36061017000,29.0,28.9,31692.0,3388.0,94.4,1073.0,39.7,7677.0,54.7,10.0,5.2,16.8,1
1400000US36061017100,5.400000000000006,80.8,125932.0,2254.0,52.5,1862.0,36.3,8974.0,9.1,82.0,1.2,3.5,1
1400000US36061017200,29.200000000000003,27.8,32537.0,2118.0,95.3,1069.0,47.5,5783.0,62.9,12.2,6.5,5.3,1
1400000US36061017300,9.5,75.3,132598.0,3227.0,71.4,2160.0,19.6,8974.0,13.9,72.8,1.6,8.6,1
1400000US36061017401,32.8,27.2,21208.0,1774.0,87.6,593.0,51.6,4566.0,44.3,10.8,8.7,8.0,1
1400000US36061017402,13.400000000000006,46.0,42260.0,870.0,88.9,1602.0,46.7,2412.0,33.9,17.9,6.5,9.0,1
1400000US36061017500,0.9000000000000057,81.0,141978.0,2598.0,52.9,2066.0,26.5,10756.0,10.3,79.0,2.9,6.0,1
1400000US36061017700,4.599999999999994,69.3,88422.0,2902.0,62.0,1151.0,29.8,9421.0,32.3,46.2,4.4,4.6,1
1400000US36061017800,19.599999999999994,44.5,48750.0,1696.0,96.1,1384.0,42.1,3684.0,53.5,18.1,7.3,5.0,1
1400000US36061017900,6.900000000000006,74.0,80484.0,3114.0,70.0,1810.0,38.2,8915.0,25.6,62.7,1.8,7.5,1
1400000US36061018000,33.900000000000006,23.9,35446.0,3066.0,98.8,871.0,38.2,8212.0,59.4,9.0,5.1,2.7,1
1400000US36061018100,5.0,74.3,93548.0,2989.0,67.0,1139.0,33.8,9554.0,16.7,62.7,3.6,5.9,1
1400000US36061018200,23.5,29.2,28217.0,2924.0,96.6,705.0,41.3,8326.0,52.0,6.4,7.8,6.3,1
1400000US36061018300,4.700000000000003,77.3,110625.0,2731.0,69.7,2321.0,46.7,7270.0,13.6,77.4,2.0,4.3,1
1400000US36061018400,36.1,22.2,23703.0,2901.0,93.1,639.0,43.0,7258.0,49.0,5.0,8.4,7.2,1
1400000US36061018500,1.7000000000000028,85.3,122390.0,1705.0,67.3,2307.0,37.5,4695.0,6.3,70.7,2.6,10.0,1
1400000US36061018600,33.5,11.1,31955.0,2063.0,96.7,524.0,36.1,7380.0,38.4,5.2,8.3,4.4,1
1400000US36061018700,3.299999999999997,85.0,123191.0,2808.0,71.3,1891.0,31.5,8534.0,8.8,71.6,2.2,11.1,1
1400000US36061018800,29.0,35.7,41004.0,2121.0,92.4,1067.0,34.3,5804.0,58.1,16.4,7.4,2.1,1
1400000US36061018900,28.799999999999997,35.2,38121.0,4117.0,86.5,791.0,35.7,11800.0,50.4,22.9,6.1,6.1,1
1400000US36061019000,8.799999999999997,56.0,64583.0,978.0,62.9,973.0,31.4,3504.0,13.5,18.0,6.1,11.0,1
1400000US36061019100,9.099999999999994,69.1,96843.0,2701.0,59.0,1813.0,38.2,9492.0,17.0,60.1,8.8,7.3,1
1400000US36061019200,34.900000000000006,12.9,19962.0,1372.0,99.6,446.0,36.5,4023.0,48.4,2.1,10.3,8.2,1
1400000US36061019300,25.299999999999997,41.1,45182.0,3318.0,83.6,1260.0,42.9,9761.0,37.3,27.6,9.2,9.6,1
1400000US36061019400,38.6,16.7,21379.0,2513.0,96.6,610.0,35.3,6517.0,60.4,5.0,7.2,1.0,1
1400000US36061019500,4.599999999999994,71.4,104158.0,2131.0,66.0,1882.0,43.2,7133.0,21.1,60.4,1.1,14.7,1
1400000US36061019600,34.5,19.4,16270.0,1613.0,99.0,624.0,44.6,3895.0,44.7,11.1,5.5,5.4,1
1400000US36061019701,1.4000000000000057,64.4,63173.0,329.0,100.0,3464.0,40.2,514.0,18.7,43.0,5.5,29.4,0
1400000US36061019702,12.799999999999997,60.9,58850.0,873.0,78.0,1973.0,34.1,2602.0,18.6,28.7,6.8,15.1,1
