GEO_ID,NAME,tract,total_population,CARES_exclusion_c,pay over 50,percentage-renters-less12k,ui_rate,unemployment rate,Risk of Job Displacement,non_high_school_per,college_per,med_income,renter_num,renter_per,mid_rent,rent_35,total,latinx,white,black,asian,include,CARES_exclusion_c bin,pay over 50 bin,percentage-renters-less12k bin,ui_rate bin,unemployment rate bin,Risk of Job Displacement bin,sum_rankings,RVI
1400000US36047011600,"Census Tract 116, Kings County, New York",36047011600,3414,0.0,0.47,0.59375,0.1511842105263158,7.0,0.3889908256880734,53.1,14.2,33965.0,864.0,79.4,1385.0,59.1,3414.0,8.3,13.4,0.2,77.7,1,1,5,5.0,3,3,5,22.0,5
1400000US36047011700,"Census Tract 117, Kings County, New York",36047011700,2608,0.06074447200920252,0.28,0.18095238095238095,0.051000000000000045,3.53,0.13221601489757914,13.400000000000004,64.1,93355.0,735.0,64.9,2022.0,36.8,2608.0,21.2,56.8,3.9,8.9,1,2,3,1.0,2,1,2,11.0,1
1400000US36047011800,"Census Tract 118, Kings County, New York",36047011800,1967,0.0,0.38,0.3987341772151899,0.10196987253765932,8.17,0.3581151832460733,59.1,12.3,45667.0,474.0,83.5,1365.0,55.9,1967.0,12.5,4.3,1.6,82.9,0,,,,,,,,0
1400000US36047011900,"Census Tract 119, Kings County, New York",36047011900,1377,0.0,0.23,0.1595238095238095,-0.20844544095665185,7.91,0.08120649651972157,13.599999999999996,61.4,94000.0,420.0,69.5,1981.0,32.2,1377.0,22.6,61.8,3.0,5.2,0,,,,,,,,0
1400000US36047012000,"Census Tract 120, Kings County, New York",36047012000,1107,0.0,0.57,0.5569620253164557,-0.09037656903765656,7.91,0.27787934186471663,56.1,13.8,33750.0,237.0,73.8,1375.0,61.2,1107.0,17.6,4.1,2.9,78.0,0,,,,,,,,0
1400000US36047012100,"Census Tract 121, Kings County, New York",36047012100,2020,0.04106138866336628,0.23,0.12048192771084337,0.07168674698795174,2.17,0.11314984709480122,12.299999999999995,61.8,96136.0,581.0,68.4,2357.0,30.0,2020.0,34.4,51.6,3.1,9.2,1,1,2,1.0,2,1,2,9.0,1
1400000US36047012200,"Census Tract 122, Kings County, New York",36047012200,5756,0.1605339080820013,0.31,0.32710280373831774,0.30480854853072126,14.09,0.2789351851851852,57.1,16.6,48832.0,1284.0,83.6,1290.0,50.5,5756.0,44.9,9.7,0.6,45.3,1,3,3,3.0,5,5,5,24.0,5
1400000US36047012600,"Census Tract 126, Kings County, New York",36047012600,2856,0.0,0.32,0.3240418118466899,0.2514138817480721,6.05,0.2507082152974504,23.599999999999994,27.9,53099.0,574.0,66.8,1399.0,50.8,2856.0,26.9,27.6,2.9,33.9,1,1,3,3.0,5,3,5,20.0,4
1400000US36047012700,"Census Tract 127, Kings County, New York",36047012700,4800,0.42521115567708334,0.13,0.26883206634416035,0.08744451490171212,9.41,0.16130628401781297,35.5,38.7,47705.0,1447.0,88.1,638.0,24.0,4800.0,22.2,28.2,10.4,6.8,1,5,1,2.0,3,4,3,18.0,3
1400000US36047012801,"Census Tract 128.01, Kings County, New York",36047012801,2279,0.0,0.42,0.397979797979798,-0.03913630229419707,4.51,0.1930745015739769,39.8,26.4,39940.0,495.0,65.6,1357.0,49.6,2279.0,4.7,28.7,1.4,65.5,0,,,,,,,,0
