"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_002E","B25070_002M","B25070_003E","B25070_003M","B25070_004E","B25070_004M","B25070_005E","B25070_005M","B25070_006E","B25070_006M","B25070_007E","B25070_007M","B25070_008E","B25070_008M","B25070_009E","B25070_009M","B25070_010E","B25070_010M","B25070_011E","B25070_011M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Less than 10.0 percent","Margin of Error!!Total!!Less than 10.0 percent","Estimate!!Total!!10.0 to 14.9 percent","Margin of Error!!Total!!10.0 to 14.9 percent","Estimate!!Total!!15.0 to 19.9 percent","Margin of Error!!Total!!15.0 to 19.9 percent","Estimate!!Total!!20.0 to 24.9 percent","Margin of Error!!Total!!20.0 to 24.9 percent","Estimate!!Total!!25.0 to 29.9 percent","Margin of Error!!Total!!25.0 to 29.9 percent","Estimate!!Total!!30.0 to 34.9 percent","Margin of Error!!Total!!30.0 to 34.9 percent","Estimate!!Total!!35.0 to 39.9 percent","Margin of Error!!Total!!35.0 to 39.9 percent","Estimate!!Total!!40.0 to 49.9 percent","Margin of Error!!Total!!40.0 to 49.9 percent","Estimate!!Total!!50.0 percent or more","Margin of Error!!Total!!50.0 percent or more","Estimate!!Total!!Not computed","Margin of Error!!Total!!Not computed"
"1400000US36005024502","Census Tract 245.02, Bronx County, New York","1177","56","12","19","55","34","90","70","44","35","149","82","109","69","73","45","68","48","471","94","106","77"
"1400000US36005024600","Census Tract 246, Bronx County, New York","350","80","6","9","34","32","39","31","64","43","48","38","11","11","17","17","31","27","64","43","36","25"
"1400000US36005024700","Census Tract 247, Bronx County, New York","717","32","7","11","31","28","74","41","80","36","91","45","91","45","97","58","48","36","134","53","64","44"
"1400000US36005024800","Census Tract 248, Bronx County, New York","864","94","32","51","105","61","99","68","143","60","31","37","54","35","41","43","51","48","220","86","88","73"
"1400000US36005024900","Census Tract 249, Bronx County, New York","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11","0","11"
"1400000US36005025000","Census Tract 250, Bronx County, New York","452","106","30","29","0","11","31","37","75","67","9","15","72","76","8","12","40","36","135","84","52","57"
"1400000US36005025100","Census Tract 251, Bronx County, New York","1899","150","16","25","68","65","90","74","113","76","171","123","218","105","305","149","155","116","672","166","91","82"
"1400000US36005025200","Census Tract 252, Bronx County, New York","527","74","9","16","20","25","83","48","55","37","38","29","32","30","17","13","31","34","188","52","54","38"
"1400000US36005025300","Census Tract 253, Bronx County, New York","1840","106","15","22","71","57","86","57","213","88","153","83","68","59","92","61","230","97","795","165","117","73"
"1400000US36005025400","Census Tract 254, Bronx County, New York","414","59","0","11","15","15","25","17","96","45","30","21","24","21","31","29","48","39","129","54","16","21"
"1400000US36005025500","Census Tract 255, Bronx County, New York","2163","114","55","53","122","91","202","138","230","100","210","150","195","118","0","16","240","129","782","213","127","115"
"1400000US36005025600","Census Tract 256, Bronx County, New York","363","76","0","11","42","33","46","28","35","23","5","9","44","44","43","40","39","32","83","46","26","32"
"1400000US36005025700","Census Tract 257, Bronx County, New York","660","50","0","11","37","43","35","35","85","57","20","19","66","43","53","43","59","37","277","70","28","26"
"1400000US36005026100","Census Tract 261, Bronx County, New York","229","71","6","9","50","30","41","29","25","27","28","29","26","21","12","15","23","23","18","20","0","11"
"1400000US36005026300","Census Tract 263, Bronx County, New York","2145","171","47","49","81","89","125","128","111","74","162","118","219","132","125","102","221","123","873","244","181","127"
"1400000US36005026400","Census Tract 264, Bronx County, New York","924","181","33","39","16","27","46","44","55","87","101","71","166","120","17","28","144","79","306","141","40","35"
"1400000US36005026500","Census Tract 265, Bronx County, New York","2102","100","35","44","111","106","159","103","166","90","74","74","184","91","219","126","231","118","759","211","164","121"
"1400000US36005026601","Census Tract 266.01, Bronx County, New York","1036","103","8","13","59","48","143","68","156","72","164","74","78","43","93","69","82","64","233","99","20","22"
"1400000US36005026602","Census Tract 266.02, Bronx County, New York","1890","201","28","46","164","127","269","132","209","124","289","151","74","75","71","69","198","130","504","182","84","89"
"1400000US36005026701","Census Tract 267.01, Bronx County, New York","1277","74","51","44","159","67","156","83","60","42","76","50","110","72","72","61","157","71","398","111","38","44"
"1400000US36005026702","Census Tract 267.02, Bronx County, New York","2332","127","92","68","86","67","190","117","110","89","227","124","223","132","161","115","91","77","1116","212","36","40"
"1400000US36005026900","Census Tract 269, Bronx County, New York","1206","87","0","11","95","55","133","77","214","106","131","69","71","57","125","66","90","59","336","98","11","17"
"1400000US36005027300","Census Tract 273, Bronx County, New York","2382","162","76","87","101","76","167","105","176","98","284","156","146","120","155","104","332","138","909","205","36","53"
"1400000US36005027401","Census Tract 274.01, Bronx County, New York","488","111","7","13","55","40","141","78","74","54","42","29","57","67","9","14","26","42","69","46","8","12"
"1400000US36005027402","Census Tract 274.02, Bronx County, New York","640","142","10","15","36","48","94","59","98","75","33","40","19","21","64","51","90","63","162","113","34","32"
